,Reviews
12169,"
Son súper cómodos todo lo que esperaba se los recomiendo
"
12170,"
A size 9 is a bit tight but not uncomfortable. Id call it a size 8.75.
"
12171,"
Love the design of the shoes and colors
"
12172,"
I’ve ordered this shoe for the last 4 years and it never fails. I try other shoes and nothing comes close. Love the comfort and cushion all around my feet. I’ll be buying this shoes for years to come!
"
12173,"
The width of the shoe is small compared to other brands order 1/2 to 1 size large to ensure the shoe will fit
"
12174,"
The first time I ordered the shoes I ordered an 11.5 b/c I usually wear 11 to 11.5 in athletic shoes. I had to send back b/c the 11.5 was too snug on my foot and these shoes are definitely for narrow feet. Although, I could tell they would be a comfortable shoe, I sent the 11.5 back and ordered a size 12. The shoes were delivered in about 2 days and the 12 was definitely the sz I needed and the support and comfort are really good. I have not worn Puma since my high school days when I played basketball, but I'm really glad I bought this pair.
"
12175,"
Width is to tight
"
12176,"
Están muy cómodos los recomiendo, excelente calidad y buen confort muy buenos
"
12177,"
Loved the color and style. But they are way toowide
"
12178,"
These are a little tight in the sides of my toes but I'm sure they will break in. I wear an 11.5 but I think I should have bought a 12. Other than that these for great and are more comfortable than any other shoe I've worn so far. I'm concerned with how thin the bottom is and question the durability of it.
"
12179,"
Buena calidad
"
12180,"
I haven't worked out in these Shoes as of yet, so I don't know how workable they are yet, because I just recieved them a few days ago. The Shoes are very Comfortable, Soft Insoles and they give great Support. I Highly Recommend Buying These Shoes. One thing, order one size bigger they run a little small. We had to send them back to get a 10-1/2 Size instead of the Size 10. Other than that they're a Nice Shoe.
"
12181,"
My husband loves these shoes and they are very comfortable
"
12182,"
Shoes will need about a week of break in time. Even then I feel like I have to take my shoes off mid day for at least 30 min.
"
12183,"
Fantastic looking shoe.Very little cushion in the front part of the shoe. Balls of feet and toes get tired quickly.Tread does not wrap up around front or sides.
"
12184,"
Muy casual
"
12185,"
It’s puma, gave as a gift. They loved it
"
12186,"
Love this shoe, honestly the most comfortable sole in a sneaker that I’ve experienced.  Shoe is rather narrow right in the center of the foot through to the toe box...if you have wide feet, this shoe is not for you.  I’d say I have average feet width and they are still narrow feeling.  If you are between sizes I’d opt for the 1/2 size larger.  This may alleviate some tightness due to narrowing.  Again, let me repeat that these shoes are extremely comfortable and for the cost the value is tremendous vs. value!
"
12187,"
it was a perfect fit
"
12188,"
The shoes feel the most comfortable out of any
"
12189,"
The rigid upper bites into my ankle.  Might be the least comfortable tennis shoes I've ever had on my fight.The cushioning and support are fine, they look great.
"
12190,"
Comfortable, even after 12hour shift!
"
12191,"
The cushioning seems to be less under the left ball of the foot. The defect is annoying after a few hours of wear. The right shoe is fine.
"
12192,"
I usually wear an 11, but these run small.  I would recommend buying a half size larger.  Otherwise, they are great shoe.  I've always liked the style of Puma shoes.  I'll be exchanging them for an 11 1/2.
"
12193,"
This pair ran very narrow but the same brand and size fit fine
"
12194,"
I was surprised the in-sole is extremely soft and comfortable.  Fit overall is perfect.  The best sneakers I ever owned was PUMA.  I love these.  I had to send the first pair back, although my normal size 11, turns out fit was too snug, i had to re-order size 11.5"" . . . and they fit PERFECTLY.  Original ordering info said order normal size , but that was not true for me.  Also, my re-order cost me more than the original special price . . . this was my first-ever RETURN and i had to learn the expensive way that there is no actual 'exchange'.  Overall, the size 11.5"" is comfy/perfect.
"
12195,"
Boyfriend loves them! Says they are very comfortable.
"
12196,"
Just slightly too tight on the front. Maybe, if I would have ordered them half inch bigger...then, it would be more comfortable. But, otherwise they're great for your exercise or for casual use!!!
"
12197,"
Buena calidad
"
12198,"
Great looking shoes. Very comfortable and I get lots of comments on them.
"
12199,"
Es justo lo que quería. El zapato se ve resistente, cómodo, elegante. La mediada que solicite.
"
12200,"
Perfect
"
12201,"
Over all my son loved these shoes. Just 3 months there is a hole in the inside sole. Not sure show this occurred but very disappointed
"
12202,"
Love the looks of the shoe!  Only thing is that my size was very tight and it took a couple weeks to break in so they were comfortable.  All in all though I like the shoe.
"
12203,"
Runs a little small for a 9. Should have got a 9.5, but still lightweight and comfortable.
"
12204,"
Bonitos y de lujo
"
12205,"
I usually buy mens shoes so I’m well aware of the size needed.  I purchased 8.5 in mens.  These actually fit my mother who wears an 8.5 in womens that’s how small these run.  I also found the ran very narrow and very little support in the sole of the foot.  Think I will stick with New Balance.
"
12206,"
Great shoes! Great price! Luv em!!!!
"
12207,"
First pair of pumas ever. I love this shoes. Nice snug confortable fit. Great for walking and running. Not to heavy. Will be buying more soon. More styles available on eBay. Competitive pricing as well.
"
12208,"
2ne pair! They are amazing! Probably going to buy another pair.
"
12209,"
These are the nicest pair of sneakers I've boughton in 15 years!!  Absolutely love them
"
12210,"
Very fast delivery, accurate size, comfortable and quality shoes
"
12211,"
They are difficult to put on,and they Run tight
"
12212,"
I wish they were wide but I like them. Got complimented on them two days ago. I do admit I like the style changes to the shoe from the 1990s version I was used to. Cool shoe. If they offered wide I'd get a couple more pairs. Waiting to see if what's available is something I would like to wear.
"
12213,"
I'm not going to lie, most everything I've read about these shoes were spot on. 1) Buy at least a half-size larger 2) They are narrow even for my narrow feet 3) The tongue is fine but unless you have perfect form while running or walking it will force you to correct your pronation and it WILL hurt 4) You're sacrificing quality for style 5) After A LOT of breaking in and getting used to them, I love them. The tread seem good, they are snug and firm (which means less moving around in them and they'll last a long time), and they are FLY as HELL. Yes, I said FLY. I get compliments on them and my gf thinks they're sexy.Bottom line: be willing to break these in thoroughly and they'll be worth it. However, they are NOT for avid runners.
"
12214,"
Good a little tight through
"
12215,"
Would order at least a half size up tight fit with the foam sole, nice shoe though
"
12216,"
I really love the color way on these Pumas. They look like golf shoes which would be great if I played golf. Ultimately I returned them because they weren’t my style but Puma is such a strong brand that I had to give them a shot.
"
12217,"
They’re as expected
"
12218,"
Based on other reviews, I ordered half size up(normally I wear size 9.5), and size 10 fits me perfectly. I should say the sneakers look Fantastic: material is very nice, good looking color. It’s like nubuck, so I’m not sure whether they will be wet during the rain or not. But overall I was surprised about these sneakers and hope will serve me well.
"
12219,"
Good shoe's to git.
"
12220,"
The fit wasn’t like my other pumas. They are also very narrow
"
12221,"
Just buy them 1/2 size larger. They are outstanding
"
12222,"
I saw on-line that these shoes were running 1 size small so I bought one size larger and that wasn't even enough.  Not sure if I would need to also order a wide, or what, to help out.  But these shoes are very uncomfortable and I wish I had not purchased them.
"
12223,"
I bought these to replace another pair of Pumas. These were the same size but were tight around my toes. I was able to stretch them out a little through wear but I thought about returning for at least a half size up. The sneakers are beautiful and I feel taller when I put them on but they’re not light and flexible enough for running or sports.
"
12224,"
Bought them for my husband and he loved them and they fit perfectly
"
12225,"
I use these sneakers to hangout and walk around instead of taking transport. that means most of the time I’m walking about 5 to 9 miles. and man are these comfortable. took them for a jog and same. they are easy to clean, look great feel even better. I recommend. super light on the feet but have a smooth outer layer but also have an inner toughness around the foot ceiling.
"
12226,"
These are comfortable shoes and they look nice but the white parts get dirty very easily and I can never seem to get them completely clean. Wouldn't recommend buying these unless you're getting them as designated work or excersice shoes
"
12227,"
Comfortable sneakers, good support, work well for general workouts
"
12228,"
Tight when I first wore them. They fit well now.
"
12229,"
The shoes fit perfectly and are comfortable
"
12230,"
Muy cómodos, el material es bueno.
"
12231,"
Excelente producto, me quedo tal cual esperaba, muy satisfecho.
"
12232,"
Looks great but a size small. An 11 is more like a 10.
"
12233,"
Looks elegant
"
12234,"
Nada
"
12235,"
like it very much
"
12236,"
Comfortable but this style runs a little small. I'd go a half size up.
"
12237,"
La calidad del producto y su entrega muy rapido
"
12238,"
Comfortable. True to size. Trendy. Can be worn for hours comfortably. Great shoe in so many ways!But walk in the rain and get them sopping wet one time and they're done. They'll stink awful, forever, and they'll never be the same again. Not cool.
"
12239,"
Thier light wieght comfortable fit and stylish
"
12240,"
Excellent sneaker, very comfortable. Great seller, shipped quickly.
"
12241,"
They looked nice and initially felt great had to return because they were not true to size
"
12242,"
Buena inversión,  llamativos
"
12243,"
None
"
12244,"
Very comfortable and light
"
12245,"
I recommend to choose an additional size. These are very comfortable and high quality materials.
"
12246,"
A little tight
"
12247,"
Ordered wide width however I was not it was a bit tight, not comfortable for long period of time.
"
12248,"
My son liked them but it was very narrow for him. He's trying to stretch them out. Hopely he can get them to fit comfortably.
"
12249,"
Buena calidad, sin embargo parece que el puma número 9 que compré hace 6 años difiere a los número 9 actuales.  Me quedo un poco grande.
"
12250,"
great shoes
"
12251,"
I’m sure the picture was a shipping issue not a seller issue.. but this is how the package arrived! Also didn’t realize the sneaker had a glittery specked portion in it… I’m not sure Hubby Will like these! Just look close!
"
12252,"
We bought these for my stepson who loves Puma.  He loves them and wears them several times a week as casual tennis shoes.
"
12253,"
Stylish shoe and comfortable.
"
12254,"
Just got both pair of my Pumas today. The toe box was tight when first putting them on but don't fret I wore them around the house for about an hour and they loosened right up and I have plenty of room for my toes my shoes are size 12
"
12255,"
Pumas are my go to for comfort at work or play
"
12256,"
A bit tight in the width for me but it should loosen after break in period. Overall, good product for the money. I use the shoes for Pickleball.
"
12257,"
I've only ever owned Puma.  Style is appealing and fit is great.
"
12258,"
comfort and everyday wearing
"
12259,"
Just what I wanted
"
12260,"
Q estaban bien  llegó. Lo q espere
"
12261,"
These are good sneakers so far. A little bit on the small side but not that they can't be worn. I would buy them again
"
12262,"
Delivery took forever. Box looked like it was tossed around frequently.Sneakers appear fine but the outward aesthetics weren’t impressive.
"
12263,"
My dad is a size 9 1/2 but Its better to buy him a 10 so he can feel comfortable and since I'm a 10, it would feel better if I try it in and see if it fits me and it would be a great gift for him. I bought a 10 size and it felt like It was a 7, super tight and I returned it and I was disappointed because I wanted to get it for my dad for Christmas. BUT Funny how life is, I found it on target and I found a size 10 and felt the same like the one I returned back, then I tried an 11 and it's still tight, then a 12 and its still tight and uncomfortable. then I tried a size 13, and it finally felt like a 10, what the? a 13?????? Even though it was a size 13, thankfully it didn't look like I was wearing some clown shoes, it wasn't that big honestly.The point is, why do I have to choose a size 13 for it to finally fit a person with size 10? Unbelievable, if you're gonna buy a shoe from here, better buy it 3 sizes higher than your actual size.Ex. If you're an 8, pick an 11Don't believe the other comments that say it's true to size or chose one size bigger than your original size
"
12264,"
These shoes are narrow. I read this in other reviews and I thought once I broke them in the shoes would fit great but even after breaking them in they are still narrow and  right on the sides of your foot but over all I like the style and look of the shoes and the cost was low.
"
12265,"
As other reviews mentioned, these fit tight. Size up probably a full size for comfort. I can also forsee them being difficult to clean. They look awesome though and the price was right!
"
12266,"
Did not fit true to size. Feels like it's a half size too small. I'm stretching them to see if it helps.
"
12267,"
Muy cómodo
"
12268,"
Tight fit
"
12269,"
I like the Look Fit and price of these Shoes.They are a replacement from a diffrent shoe and are what I Wanted.
"
12270,"
I bought these for my husband and he loves them. Working 12hr shifts on your feet the whole time requires good shoes. He says it feels like walking on a cloud and his feet no longer hurt him like before
"
12271,"
nice looking shoe  did not have enough room with my wide foot high arches and orthotics  have to returnnothing wrong with shoe  just didnt work for  me
"
12272,"
Size is 1/2 too small.
"
12273,"
I used it for working out. And I just love puma's materials in general
"
12274,"
👍✌
"
12275,"
No dislike’s
"
12276,"
This shoe looks great and feels good while at the gym!
"
12277,"
These are the best pair of sneakers I own. After reading the reviews, I deiced to go try a pair on, so I went to our local store and sure enough, I needed a 1/2 size increase. I normally wear size 11, needed 11.5. If I could have gotten these in a wider size, I would have, only because I have an issue on my left foot. Otherwise these feel great. The only complaint I have, I wanted white with Orange, that color has been sold out for over a month, the day I got mine, they had the orange in. That was my only bummer. Amazon has the cheapest price on these and I would definitely recommend these to any of my friends.  I get complements from people every time I wear these.
"
12278,"
They aren't the most comfy pair of pumas I've owned. They don't have the thing on the tongue to run the laces thru so you have to untie and tie them every time or the tongueslips way down. My last pair of puma shoes were awesome these are okay at best. I've worn them for about a month and they're still fairly stiff.
"
12279,"
They were really nice comfortable pair of shoes they look great . I got a 10 1/2 and it was a little tight I could’ve went a half size up. But I think once they  break in they will be fine..
"
12280,"
If you're shoe size is 10.5 US, buy the 11.5 US. That's all
"
12281,"
Me quedo perfecto
"
12282,"
Not only do the shoes fit my feet, it is also comfortable and have a unique style. Meaning the color of the shoe.
"
12283,"
It's just a little narrow for my feet. Overall a decent pair for the price.
"
12284,"
I love how these shoes look and they're somewhat comfortable. But they get dirty SOOOO easily! It's maddening. I'm constantly having to clean them and they're not easy to clean.
"
12285,"
These are just fashion shoes. They don't even look that good. I only wore them a few times. They kind of remind me of bowling shoes.. I have a few other pairs of puma shoes that are the classic style that I like a lot more than these.It took me just too long to realize. I probably wore these for a week or two then was tired of them. Now they will likely get donated.
"
12286,"
Runs small.  I wear size 10 and ordered 10.  Way to small.  Very nice shoe. Will recorder size 11
"
12287,"
It meets my expectations
"
12288,"
I don't recall how mich i bought if for as now i see it over $100 but it is worth it tho. It looks good with the army shorts that has the same color or black jeans or even blue jeans with a black or white type of shirt. Got complaments over it and to me seems just classy and only wear it in certain situations.
"
12289,"
Perfecta armonía de colores, elegancia, calidad, súper cómodas, una buena elección, muy cómodas para el gym.
"
12290,"
I wear an 11 size shoe at the toes gets a little narrow hopefully it stretches out some she looks great for the money pretty comfortable
"
12291,"
Order a half a size bigger. These run small for size. Never had this issue with other puma shoes.
"
12292,"
Order a size up. Narrow toe
"
12293,"
Suggest you go a 1/2 size uo shoes are snug made in Vietnam
"
12294,"
Everything is fine
"
12295,"
Fit comfortable
"
12296,"
The way they fit. Nice.
"
12297,"
Well I went against my better judgment and ignored all the reviews stating that these things are too tight. Sure enough, these fit almost a full size too small.. Toes are scrunched, sides are tight, and the top of my foot looks like it's pushing out the tounge enough to make the laces look silly. Like the Hulk is about to make an appearance lol.. And I have narrow, skinny feet too.Anyway, I read somewhere that the Pumas made in Vietnam fit way smaller than the others. I would recommend these only if you are able to try them on first. The listed size is simply not accurate.As far as the look, they are just what I expected and wanted. They look great with a pair of jeans and the soles appear to be made of good quality. Just too small and now I must deal with the return process.
"
12298,"
Very tight and short. I leave them very loosely tied.
"
12299,"
The sneaker is great! Really comfortable, and really well made. The only issue I have is that the box that the sneakers came in was destroyed. Not sure if it was seller error as much as it was destroyed in transit. Either way cool sneakers and really comfortable.
"
12300,"
more narrow that expected
"
12301,"
Hesitant to buy shoes online, but these are a great fit for him. Expected more arch support but they’re still comfortable to wear all day on concrete floors (which lends itself to squeaking BTW).
"
12302,"
Always been size 12.This shoe is EXTRA TIGHTPROBABLY WONT EVER WEAR THEM. Made the mistake of wearing them once and now can’t return them because they’re worn
"
12303,"
Shoes look and feel like high quality. They fit as I anticipated. Please remember that if you have wide feet you may want to look into other options for this particular shoe. I would say I have average feet and I had to replace the memory foam inside to make them comfortable. With that being said most shoes do not have that much padding inside of them. They are still super comfy with a smaller memory foam padding inside the shoe and fit perfect. Highly recommend.
"
12304,"
Me gusto buen producto
"
12305,"
Well made and price is good
"
12306,"
Nice looking shoe, but a bit narrow for a man's shoe
"
12307,"
Did not fit as expected was to loose around ankles. But do look nice
"
12308,"
Very comfortable on the steps and doesn’t cause any discomfort.
"
12309,"
True to fit. Very comfortable.
"
12310,"
They looked black when purchasing, but was blue. Still like them, but wanted them because they were red and black and white.
"
12311,"
The soles are very cushioned and conform well to my feet. My only issue is that the top part near the toe rubs my last 2 toes on the right foot. No issues with the left shoe and I haven't had this issue with other shoes (including Pumas) that I've worn in the past. I'm hoping that it's just a ""breaking in"" issue and that it will subside once I've worn them enough. If not for the rubbing issue, these would be a 5 star shoe.
"
12312,"
Look very stylish and as they are depicted in the images. I do not like the feeling of unstable ground when I wear them. It is like the bottom of your shoes has more than one level. Anyway, maybe I have not worn such shoes before. Materials are not of high quality, but they are suffice for the price. To resume, I would recommend ordering 0.5 size larger for your safety. The sneakers are good if you want to wear inexpensive pumas)
"
12313,"
Very very nice, they are a little slim maybe because they're new some shoes come wide some shoes slim these are slim. But they fit true to size and actually they look better in person. I might have to get the other ones LOL
"
12314,"
They run a little small in the toe area! ORDER A HALF SIZE LARGER
"
12315,"
Overall comfortable but a little narrow at the toes. Looks good and is holding up well though
"
12316,"
Good quality shoes for a good price!
"
12317,"
I like the look of this shoe. I wear them as an everyday shoe, not to work out. I really think for what I paid they should be leather, but they are a synthetic material.
"
12318,"
Hi: this is the 2nd pair of Puma Cell Surin 2 FM I bought. Great shoes, great quality of materials. Why I gave it 4 stars ?: is it normal that each inner foam comfort sole is separated from each shoe ?
"
12319,"
delivered on timefit just as expected
"
12320,"
Look great, maybe a size bigger
"
12321,"
It’s a good fit durable 2 thumbs up
"
12322,"
These shoes fit true to size.In some shoes I like ordering them slightly larger than my foot because I feel they are more comfortable, but I feel these are meant to fit perfectly. With that being said normally I wear I size 10.5 but for these I felt more comfortable in a 10. I tried them on first in a local store ($80!) And saw them on Amazon for $57.Great price; great shoe! These are some of the most comfortable shoes I have ever worn, and right out of the box! I'm coming from a pair of UA shoes that were my favorite shoes ever.. But now I must say these Puma are my new favorite!
"
12323,"
My husband was very pleased with them
"
12324,"
High arch.  Uncomfortable
"
12325,"
I think the shoe could use more arch support and a little more space in the toe box area. The cushioned sole is nice though.
"
12326,"
These shoes are comfortable and stable for cross training and lifting. Style is very attractive. Worth it
"
12327,"
So far so good! These fit as expected. I wear a 10 in Adidas, a 9.5 to 10 in Nike, and 10.5 in various skate shoes (Etnies, DVS, Emerica, Osiris, DC, Vans, etc.). The size is always the trick for me, and these were just right based on a UK 9.5 and a EUR 43-44 - some sizes I try to gauge with when the US sizes are erratic, which they definitely are. I have more narrow feet, so that could be part of why the Puma size was just right; it's possible they require a slightly larger size (half size MAYBE) if you need more width, but they were just as expected for me.
"
12328,"
A little snug for the size
"
12329,"
Really comfortable shoe, little tight fitting at first but fits fine after a couple uses. Would buy this shoe again.
"
12330,"
These are great every day wear tenny’s. I bought a pair about three years ago on a whim because they were on sale and they became my favorite pair. Really good looking and comfortable shoes. This new pair meets the expectations I had for them. Same quality and comfort. I bought a pair of Tazon’s before these, and I definitely like the Cell Surin’s better.
"
12331,"
These are similar to other ones I had so I knew to go with a half size bigger then I wear in other shoes. Just need to break them in a little more in the toes where they are a little tight.
"
12332,"
Good
"
12333,"
Very stiff shoe, doesnt mold to your feet like other shoes?
"
12334,"
To narrow even got a size bigger
"
12335,"
I wear a size 10 for every boot, sandal, flipper, cleat, shoe etc. that I put on. These need to be a half size bigger than your actual shoe size. Really tight in the toes and need to wear ultra thin socks to make them somewhat comfortable.
"
12336,"
Good looking shoe & quality seems fine. However, unlike other Puma shoes that I have that fit as expected, this shoe is ridiculously tight in front of the arch. I wear a 10 to 10.5 (depending on the shoe). The 10 is fine in length, but the tightness was literally putting my feet to sleep. I bumped up to a 10.5 and it did help, but is still pretty tight. I am working on stretching out the shoe because I really like the design. Time will tell if I will be able to wear these or if they will end up in my donation pile...
"
12337,"
Muy bonito
"
12338,"
This was a gift for my son for Christmas.  Had originally ordered a different style in a size 12, but they did not fit.  The style he wanted did not have a larger size, so we had to choose a different style.  These seem to fit and he must like them because he has not complained!
"
12339,"
Fits half size too small. Shipping was good.
"
12340,"
It’s like they are narrow fit compared to the standard.
"
12341,"
shoes are perfect
"
12342,"
I've worn a size 11 since I turned 18 years old and most of the time, that is kind of loose.  I'm 60 years old now and my feet have not grown as none of my other shoes have gotten tight of late!  :)
"
12343,"
For the price that you charge the customer, you'd thing there might be some kind of animal-hide in the construction of this shoe - especially for something made in Viet Nam.  Oh - I forgot, you large corporate types have to go laughing to the bank every day of the week!  This very dressy sneaker does have the perfectly comfortable fit and feel I get from Puma...I just hope all that polyester doesn't have my feet sweaty and smelly.
"
12344,"
I love these shoes. They fit well, feel nice and look soooo good. Totally worth the money. If and when they wear out to the point of no return i will more than likely look for these again in the future. 10/10.
"
12345,"
My Birthday recipient, loved the style and design. Does say that the shoes are kind loose around the bottom of the ankle. But the toe supports him just the way he had hoped for.
"
12346,"
The shoe size fit perfectly to what I expected. The best thing about this shoe is that it is slightly deeper than most low top athletic shoes. I always add an additional orthotic to all my shoes. Low tops are generally too shallow making the top edge of the shoe ride high on my heel when adding an orthotic. These fit perfectly on my heel with the orthotic insert. Very sturdy shoes which is what I prefer over a fabric mesh type shoe. For these reasons Puma in now my go to brand for athletic footwear.
"
12347,"
I like the look. I have really high arches,  some support it there when I stretch my foot b4 putting the on.My only frown is that that run a little tight. I think half a size up would have been great.They're still new so hoping breaking them in more will making them even better.
"
12348,"
Just a little tight but should get better with use
"
12349,"
It's hard not being able to I am on keep your mind till they get here Joey from the back of your mind they fit grade
"
12350,"
I love my shoes the only problem is if I wear them for more than 8hrs my foot start hurting but then I wear them at work so I don’t know
"
12351,"
In like the product I purchased as a Christmas gift
"
12352,"
Shoes look really nice but the main problem is the size. I wear a nine but when I tried them on they wear too tight. If I were to get them again I would buy them a half size bigger.
"
12353,"
Love Puma, great looking, solid feel, just plan to purchase a larger size next time. These run SUPER tight. I wear a 12, will definitely grab a 13 next time. Other than that I get complemented on them constantly, definitely a head turner.
"
12354,"
Narrow toe box, the insoles as you see in pic above is thicker at the toes which puts pressure on the toes even with thinner sock, I changed insoles from sneaker,now there is a better fit. Amazon sells defective products from major manufacturer
"
12355,"
Very soft and comfortable I wouldn't use them as running shoes lose their feel but overall amazing
"
12356,"
Nothing
"
12357,"
Gets dirty real easy
"
12358,"
Super bien
"
12359,"
Overall I think this is a pretty nice shoe. I think they are a little too white for me, however I ended up returning them because they are too tight. I usually wear a 11.5 4E but I figured I would give it a try. Typically I have a little bit of toe room, however for these shoes my toe was pushed up against the edge in addition to it being a little tight. I would recommend sizing up a half size in length.
"
12360,"
Do understand that as with most athletic shoes the fit is determined by the independent consitution of the footwear. These are very well cushioned and padded, so it took me three times to get the right fit (so they might run small). I typically wear between an 11 and 12 depending on the shoe. For this case, I tried an 11 first, then 11.5, and finally, the 12 fit just right. Just note that you may have to re-send for a size that works for you. Otherwise, they feel quite solid, and I personally like the style of this brand of Puma sneakers.
"
12361,"
Most stores in my area only carry Nike and Under Armour. Nobody else gets any shelf space.  Nice to be able to buy a top brand like Puma at Amazon.  Great price for a very well made shoe.  This is my son's second pair of Puma shoes.  He is now in 8th grade and wore Puma all last year every day to school.  The playground at school is hard on shoes.  Shoes held up fantastic.
"
12362,"
very comfortable fits as expected i am happy with it, For many years Puma has been my sneakers of choice because of their unique style and appearance i will buy again and my older ones i will give away to less fortunate people in my area because i take great care of all my shoes so they still look new
"
12363,"
to tight, to small, and all around poorly mad shoe
"
12364,"
Shoes fit comfortably and as expected I've always liked, been buying, for a few years now love the style love the soft insoles and style great shoe thanks oh and forgot to make a comment about the narrowness of them but if you do not know this be cautious on buying them because they are fairly narrow with me knowing this I knew to get a size half size larger than my normal foot size still feel tad bit narrow but still fit but never but Pumas buy a size half size bigger because of the fact they are narrow
"
12365,"
Comodos
"
12366,"
Great fit. Feels like I can lift way more weight when I'm wearing these at the gym. Not for running though. The material as it describes is synthetic. So small wrinkles appear on sides after wearing them a couple time but not a major issue. I've had them for about a month and so far I'm satisfied.
"
12367,"
All good and perfect conditions. I don't use them for running so I cannot judge them on this performance, but when worn daily they are comfortable. Washed them several times in the washing machine and no problem with the colors or something else.
"
12368,"
This is a nice looking shoe and comfortable once broken in, however the first week of wearing this shoe was unbearably painful on my little toe. Never had that issue with any of my other 9.5 puma shoes so I am sure its a design flaw. There seems to be some stitching at the tip of the shoe that rubs on your little toe. Had to stuff the top of the shoe with paper for a couple days to stretch it out and then the shoe was wearable.
"
12369,"
Best combo of looks and functionality and black red and gold are immaculate. Any sneaker head would love these!
"
12370,"
I should have paid attention to the 63% fit as expected sign before I purchased these shoes. It’s a great looking shoe but, it was not true to size. I even brought it a half size too big just so I would have some room but, it was still too tight.
"
12371,"
Muy cómodo.... excelente
"
12372,"
Mi gusto mucho
"
12373,"
Good looking sneaker. Not as comfortable as the Basket or Clyde, but a higher quality.
"
12374,"
I ordered a 9.5, should have gotten 10... but I like the shoe.  Not their fault I ordered a little small.
"
12375,"
Head Turner, comfortable, surprisingly light. Shipping was fast and the quality is great. Would buy again. Thank you!Size runs kind of adjusted, for a more accurate fit order a number larger than your normal size for a comfortable fit.I.e. I wear normally a US size 10 and I ordered a size 10.5 just to be on the safe side. I wished I ordered a size 11. They do fit ok but they feel just about right a bit adjusted on the front of the shoe like a pointy cowboy boot.
"
12376,"
These are a little tight/snug in the toe box. The shoe doesn’t breath well at all so expect your feet to be hot when working out or training. Descent shoe for casual wear and look nice.
"
12377,"
Muy buena calidad, llegaron muy rápido y están muy bonitos tal como lo muestra la imagen
"
12378,"
No comment
"
12379,"
The sole is thinner than I expected. I wouldn't dare wear it in the rain. Overall it's a nice & stylish gym shoe.
"
12380,"
My favorite all purpose shoe. Durable comfortable and stylish. Have bought this same pair 3 times in the past several years. Order half size larger than regular size recommended.
"
12381,"
Like the title says. Very small. Double checked the size on the tongue and it is the correct size, just very small.
"
12382,"
These fit my dad perfect he wears a 91/2 so I bought him that size true to size great shoes for the price my dad says thier very comfortable.  I highly recommend these.
"
12383,"
I really like this shoe. The design is cool and sleek and they're comfortable. I wore them all day the first day that I took'em outta the box. I only gave 4 stars on the price because I'm ""frugal"" when it comes to spending money on athletic gear.
"
12384,"
Muy comodos
"
12385,"
I wear 10.5These are 10.5Little snug but not bad,
"
12386,"
Really nice pair, you can feel the quality, I have been using it many times, and still no damage. Besides comfortable as I have expected.
"
12387,"
They are a little narrow but i have narrow feet so not too bad. They look awesome! Really nice shoes. Will match my st louis cardinals gear....go cards! The soles are made of really good foam that is super comfy. Almost like slippers. Great kicks for the price! The tazons are nice and close in style but not as narrow. Just if you are looking for a similar style. Pleased i am.
"
12388,"
Great sport shoes
"
12389,"
I have never owned a pair of Pumas until now! They not only look good, but they are very comfortable on my feet! I would recommend these sneakers to anyone who is seeking style + comfort!
"
12390,"
Size a little tight
"
12391,"
Shoes are to find for my leg. The ""width"" could be a lil better. But other then that I'm happy. Looking forward to buy more puma's.
"
12392,"
This product came directly to me., to my front door, not to some front desk receptionist at my apt. Complex who doesn't know her but from a hole in the wall.
"
12393,"
A guy at the meat counter at Wal-Mart had these on, and I had to have them. Found them online. Bought them. Love them.
"
12394,"
The width is tighter than a regular casual shoe, though my toes have plenty of room.  I love Puma's and I have several pairs of casuals.  But they all have the same issue.  They're too narrow.  The soft foam soles make them a little tighter, but despite that they look cool and great.  Next time I'd go the next size up.
"
12395,"
I read all the reviews.  I wear a 10.5 in women's.  I love men's shoes cause let's be honest my size women shoes are ugly. I bought a 9.5 men's.  It was perfect fit. Great room for toes and so so comfy.  I love my pumas!💖😀
"
12396,"
I would have preferred a thicker sole.
"
12397,"
It's always a good idea to read reviews before purchase.  Had l not, these shoes would've been way to small for my foot.  I went a size up and they still were tight.  After walking around for 5mins they broke in and now feels comfortable.  I have back aches and these shoes provide the support I need.
"
12398,"
Size was true to size, but for running and support no way. Moderatley uncomfortable and dense where flex should be. Too heavy for a running shoe but very good looking. Beuty is pain, huh.
"
12399,"
I needed a pair of Nikes, but couldn't find what I liked.  So, I loved the ways these looked.  Even though it was a men's shoe, I gave it a go.  I like these shoes because they are lighter than my Nike leather shoes.  These shoes look AMAZING and I get complements ALL the time.
"
12400,"
He likes them!
"
12401,"
Good support, comfortable and excellent quality
"
12402,"
This is my second pair I have purchased. I use primarily for HIIT workouts, especially plyometric and cardio. These shoes have excellent traction and grip the floor well. Last pair gave out after one of the lace eyelets ripped out after about 2 years of twice weekly usage. Of my 6 pairs of different brands of workout footwear, these offer the best traction.
"
12403,"
I love these shoes.  I would not recommend this shoe for cross-training or running, or anything other than casual wear despite the description.  There is not a lot of cushion, support or comfort for athletic purposes, but the shoe looks great. They are made to last, easy to clean and hold up well. This is my third pair of these shoes and I will probably buy a fourth.
"
12404,"
I originally ordered a 11 because that’s what my husband normally wears but after two returns he ended up with a size 12. Long story short, they run small.
"
12405,"
9.5 fit like an 8.
"
